Date,Store ID,Product ID,Units Sold,Price,Discount,Promotion,Demand,Year,Month,Week,TimeKey
2022-01-02,S001,P0004,82,91.64,10,0,78,2022,1,52,2022-W52
2022-01-02,S001,P0005,87,63.35,0,0,103,2022,1,52,2022-W52
2022-01-02,S001,P0006,77,36.93,5,0,65,2022,1,52,2022-W52
2022-01-02,S001,P0007,37,27.22,0,0,127,2022,1,52,2022-W52
2022-01-02,S001,P0008,37,37.38,5,0,58,2022,1,52,2022-W52
2022-01-02,S001,P0009,133,93.21,10,0,126,2022,1,52,2022-W52
2022-01-02,S001,P0010,105,129.03,10,1,107,2022,1,52,2022-W52
2022-01-02,S001,P0011,152,175.19,10,1,130,2022,1,52,2022-W52
2022-01-02,S001,P0012,168,96.27,10,1,187,2022,1,52,2022-W52
2022-01-02,S001,P0013,73,32.72,10,0,107,2022,1,52,2022-W52
2022-01-02,S001,P0014,81,70.94,0,0,75,2022,1,52,2022-W52
2022-01-02,S001,P0015,117,15.17,10,1,110,2022,1,52,2022-W52
2022-01-02,S001,P0016,25,35.58,0,0,59,2022,1,52,2022-W52
2022-01-02,S001,P0017,33,17.76,10,0,42,2022,1,52,2022-W52
2022-01-02,S001,P0018,172,66.33,10,0,144,2022,1,52,2022-W52
2022-01-02,S001,P0019,35,93.29,10,0,52,2022,1,52,2022-W52
2022-01-02,S001,P0020,93,119.87,10,0,92,2022,1,52,2022-W52
2022-01-02,S002,P0001,0,86.71,10,0,137,2022,1,52,2022-W52
2022-01-02,S002,P0002,61,31.7,0,0,82,2022,1,52,2022-W52
2022-01-02,S002,P0003,20,66.64,10,0,58,2022,1,52,2022-W52
2022-01-02,S002,P0004,40,36.7,5,0,59,2022,1,52,2022-W52
2022-01-02,S002,P0005,52,98.83,5,0,115,2022,1,52,2022-W52
2022-01-02,S002,P0006,116,66.76,10,0,117,2022,1,52,2022-W52
2022-01-02,S002,P0007,95,30.0,0,0,95,2022,1,52,2022-W52
2022-01-02,S002,P0008,99,29.35,0,0,140,2022,1,52,2022-W52
2022-01-02,S002,P0009,0,74.78,0,0,158,2022,1,52,2022-W52
2022-01-02,S002,P0010,179,101.56,25,1,234,2022,1,52,2022-W52
2022-01-02,S002,P0011,135,91.4,15,1,137,2022,1,52,2022-W52
2022-01-02,S002,P0012,75,65.63,15,1,115,2022,1,52,2022-W52
2022-01-02,S002,P0013,45,20.47,0,0,75,2022,1,52,2022-W52
2022-01-02,S002,P0014,84,134.04,10,0,135,2022,1,52,2022-W52
2022-01-02,S002,P0015,36,65.22,20,1,152,2022,1,52,2022-W52
2022-01-02,S002,P0016,0,107.38,0,0,159,2022,1,52,2022-W52
2022-01-02,S002,P0017,63,18.69,10,0,92,2022,1,52,2022-W52
2022-01-02,S002,P0018,74,26.16,5,0,92,2022,1,52,2022-W52
2022-01-02,S002,P0019,66,93.88,0,0,101,2022,1,52,2022-W52
2022-01-02,S002,P0020,77,134.4,0,0,70,2022,1,52,2022-W52
2022-01-03,S001,P0001,142,68.55,15,1,132,2022,1,1,2022-W01
2022-01-03,S001,P0002,92,78.32,0,0,137,2022,1,1,2022-W01
2022-01-03,S001,P0003,3,51.3,10,1,106,2022,1,1,2022-W01
2022-01-03,S001,P0004,55,91.74,5,0,63,2022,1,1,2022-W01
2022-01-03,S001,P0005,0,58.17,25,1,172,2022,1,1,2022-W01
2022-01-03,S001,P0006,72,36.37,15,1,92,2022,1,1,2022-W01
2022-01-03,S001,P0007,0,23.81,5,0,101,2022,1,1,2022-W01
2022-01-03,S001,P0008,56,42.35,0,0,64,2022,1,1,2022-W01
2022-01-03,S001,P0009,88,98.1,0,0,109,2022,1,1,2022-W01
2022-01-03,S001,P0010,17,138.64,0,0,82,2022,1,1,2022-W01
2022-01-03,S001,P0011,62,152.23,10,0,86,2022,1,1,2022-W01
2022-01-03,S001,P0012,165,88.83,20,1,201,2022,1,1,2022-W01
2022-01-03,S001,P0013,47,29.75,0,0,64,2022,1,1,2022-W01
2022-01-03,S001,P0014,50,81.49,5,0,134,2022,1,1,2022-W01
2022-01-03,S001,P0015,92,16.43,0,0,86,2022,1,1,2022-W01
2022-01-03,S001,P0016,0,45.61,15,1,193,2022,1,1,2022-W01
2022-01-03,S001,P0017,59,22.74,0,0,80,2022,1,1,2022-W01
2022-01-03,S001,P0018,134,72.12,0,0,137,2022,1,1,2022-W01
2022-01-03,S001,P0019,48,104.22,10,0,68,2022,1,1,2022-W01
2022-01-03,S001,P0020,85,94.75,25,1,77,2022,1,1,2022-W01
2022-01-03,S002,P0001,0,84.32,20,1,189,2022,1,1,2022-W01
2022-01-03,S002,P0002,64,33.62,5,0,100,2022,1,1,2022-W01
2022-01-03,S002,P0003,0,69.5,10,1,84,2022,1,1,2022-W01
2022-01-03,S002,P0004,9,37.8,0,0,53,2022,1,1,2022-W01
2022-01-03,S002,P0005,0,103.86,10,1,150,2022,1,1,2022-W01
2022-01-03,S002,P0006,140,67.06,25,1,184,2022,1,1,2022-W01
2022-01-03,S002,P0007,49,27.9,0,0,89,2022,1,1,2022-W01
2022-01-03,S002,P0008,126,30.53,0,0,154,2022,1,1,2022-W01
2022-01-03,S002,P0009,134,68.23,10,0,145,2022,1,1,2022-W01
2022-01-03,S002,P0010,116,86.08,10,0,105,2022,1,1,2022-W01
2022-01-03,S002,P0011,22,109.82,0,0,144,2022,1,1,2022-W01
2022-01-03,S002,P0012,44,70.05,20,1,158,2022,1,1,2022-W01
2022-01-03,S002,P0013,14,18.11,10,0,70,2022,1,1,2022-W01
2022-01-03,S002,P0014,0,125.35,10,0,113,2022,1,1,2022-W01
2022-01-03,S002,P0015,0,74.64,10,0,158,2022,1,1,2022-W01
2022-01-03,S002,P0016,113,69.5,25,1,109,2022,1,1,2022-W01
2022-01-03,S002,P0017,18,20.44,0,0,87,2022,1,1,2022-W01
2022-01-03,S002,P0018,96,29.14,10,0,127,2022,1,1,2022-W01
2022-01-03,S002,P0019,16,96.98,5,0,145,2022,1,1,2022-W01
2022-01-03,S002,P0020,6,82.98,25,1,22,2022,1,1,2022-W01
2022-01-04,S001,P0001,42,61.66,10,0,67,2022,1,1,2022-W01
2022-01-04,S001,P0002,113,69.87,0,0,116,2022,1,1,2022-W01
2022-01-04,S001,P0003,0,46.51,20,1,96,2022,1,1,2022-W01
2022-01-04,S001,P0004,58,88.09,5,0,52,2022,1,1,2022-W01
2022-01-04,S001,P0005,0,52.34,20,1,129,2022,1,1,2022-W01
2022-01-04,S001,P0006,0,37.81,10,0,86,2022,1,1,2022-W01
2022-01-04,S001,P0007,0,25.59,20,1,185,2022,1,1,2022-W01
2022-01-04,S001,P0008,109,43.67,10,0,119,2022,1,1,2022-W01
2022-01-04,S001,P0009,88,81.46,15,1,101,2022,1,1,2022-W01
2022-01-04,S001,P0010,0,133.12,0,0,71,2022,1,1,2022-W01
2022-01-04,S001,P0011,54,151.43,10,0,70,2022,1,1,2022-W01
2022-01-04,S001,P0012,65,75.21,10,1,101,2022,1,1,2022-W01
2022-01-04,S001,P0013,79,28.99,25,1,126,2022,1,1,2022-W01
2022-01-04,S001,P0014,147,76.99,10,1,133,2022,1,1,2022-W01
2022-01-04,S001,P0015,81,15.01,0,0,75,2022,1,1,2022-W01
2022-01-04,S001,P0016,100,40.46,0,0,111,2022,1,1,2022-W01
2022-01-04,S001,P0017,59,18.23,10,1,62,2022,1,1,2022-W01
2022-01-04,S001,P0018,63,57.88,10,1,100,2022,1,1,2022-W01
2022-01-04,S001,P0019,49,109.44,5,0,80,2022,1,1,2022-W01
2022-01-04,S001,P0020,52,127.11,10,0,110,2022,1,1,2022-W01
2022-01-04,S002,P0001,172,103.11,0,0,180,2022,1,1,2022-W01
2022-01-04,S002,P0002,90,29.92,10,0,96,2022,1,1,2022-W01
2022-01-04,S002,P0003,166,68.92,25,1,139,2022,1,1,2022-W01
2022-01-04,S002,P0004,92,37.63,10,0,80,2022,1,1,2022-W01
2022-01-04,S002,P0005,0,74.22,15,1,64,2022,1,1,2022-W01
2022-01-04,S002,P0006,98,71.52,0,0,106,2022,1,1,2022-W01
2022-01-04,S002,P0007,96,28.57,10,1,112,2022,1,1,2022-W01
2022-01-04,S002,P0008,96,26.73,0,0,109,2022,1,1,2022-W01
2022-01-04,S002,P0009,110,63.42,20,1,161,2022,1,1,2022-W01
2022-01-04,S002,P0010,77,81.42,10,0,88,2022,1,1,2022-W01
2022-01-04,S002,P0011,106,94.34,10,0,128,2022,1,1,2022-W01
2022-01-04,S002,P0012,0,74.94,10,1,140,2022,1,1,2022-W01
2022-01-04,S002,P0013,47,16.91,20,1,69,2022,1,1,2022-W01
2022-01-04,S002,P0014,0,124.24,15,1,146,2022,1,1,2022-W01
2022-01-04,S002,P0015,0,65.07,5,0,95,2022,1,1,2022-W01
2022-01-04,S002,P0016,117,93.55,5,0,129,2022,1,1,2022-W01
2022-01-04,S002,P0017,95,17.01,25,1,119,2022,1,1,2022-W01
2022-01-04,S002,P0018,181,34.99,10,1,214,2022,1,1,2022-W01
2022-01-04,S002,P0019,0,95.83,10,0,160,2022,1,1,2022-W01
2022-01-04,S002,P0020,90,143.16,5,0,104,2022,1,1,2022-W01
2022-01-05,S001,P0001,129,59.56,25,1,110,2022,1,1,2022-W01
2022-01-05,S001,P0002,77,57.54,10,0,89,2022,1,1,2022-W01
2022-01-05,S001,P0003,156,61.64,0,0,131,2022,1,1,2022-W01
2022-01-05,S001,P0004,38,76.08,25,1,62,2022,1,1,2022-W01
2022-01-05,S001,P0005,91,57.21,15,1,122,2022,1,1,2022-W01
2022-01-05,S001,P0006,143,35.63,25,1,125,2022,1,1,2022-W01
2022-01-05,S001,P0007,97,28.84,0,0,147,2022,1,1,2022-W01
2022-01-05,S001,P0008,57,39.03,10,1,85,2022,1,1,2022-W01
2022-01-05,S001,P0009,130,92.22,10,1,140,2022,1,1,2022-W01
2022-01-05,S001,P0010,86,117.69,15,1,82,2022,1,1,2022-W01
2022-01-05,S001,P0011,62,137.69,25,1,95,2022,1,1,2022-W01
2022-01-05,S001,P0012,111,65.96,25,1,101,2022,1,1,2022-W01
2022-01-05,S001,P0013,44,30.86,0,0,74,2022,1,1,2022-W01
2022-01-05,S001,P0014,86,73.34,15,1,136,2022,1,1,2022-W01
2022-01-05,S001,P0015,40,11.68,10,0,37,2022,1,1,2022-W01
2022-01-05,S001,P0016,140,43.67,20,1,200,2022,1,1,2022-W01
2022-01-05,S001,P0017,36,17.91,10,0,57,2022,1,1,2022-W01
2022-01-05,S001,P0018,109,57.56,20,1,136,2022,1,1,2022-W01
2022-01-05,S001,P0019,66,89.13,15,1,55,2022,1,1,2022-W01
2022-01-05,S001,P0020,0,122.84,20,1,137,2022,1,1,2022-W01
2022-01-05,S002,P0001,132,80.86,20,1,154,2022,1,1,2022-W01
2022-01-05,S002,P0002,81,30.8,5,0,74,2022,1,1,2022-W01
2022-01-05,S002,P0003,93,75.8,0,0,79,2022,1,1,2022-W01
2022-01-05,S002,P0004,65,31.95,15,1,65,2022,1,1,2022-W01
2022-01-05,S002,P0005,107,95.04,15,1,157,2022,1,1,2022-W01
2022-01-05,S002,P0006,74,63.82,10,1,119,2022,1,1,2022-W01
2022-01-05,S002,P0007,69,22.96,10,0,64,2022,1,1,2022-W01
2022-01-05,S002,P0008,86,23.51,25,1,145,2022,1,1,2022-W01
2022-01-05,S002,P0009,243,86.08,10,1,236,2022,1,1,2022-W01
2022-01-05,S002,P0010,53,73.77,15,1,76,2022,1,1,2022-W01
2022-01-05,S002,P0011,206,120.94,10,1,201,2022,1,1,2022-W01
2022-01-05,S002,P0012,60,56.28,15,1,84,2022,1,1,2022-W01
2022-01-05,S002,P0013,66,19.27,10,0,73,2022,1,1,2022-W01
2022-01-05,S002,P0014,171,126.06,20,1,155,2022,1,1,2022-W01
2022-01-05,S002,P0015,76,69.42,0,0,84,2022,1,1,2022-W01
2022-01-05,S002,P0016,173,80.89,25,1,161,2022,1,1,2022-W01
2022-01-05,S002,P0017,52,18.76,10,0,78,2022,1,1,2022-W01
2022-01-05,S002,P0018,120,22.23,25,1,115,2022,1,1,2022-W01
2022-01-05,S002,P0019,96,68.86,20,1,90,2022,1,1,2022-W01
2022-01-05,S002,P0020,79,122.57,10,1,89,2022,1,1,2022-W01
2022-01-06,S001,P0001,98,84.03,0,0,146,2022,1,1,2022-W01
2022-01-06,S001,P0002,86,55.73,20,1,115,2022,1,1,2022-W01
2022-01-06,S001,P0003,97,62.85,5,0,138,2022,1,1,2022-W01
2022-01-06,S001,P0004,41,76.7,25,1,65,2022,1,1,2022-W01
2022-01-06,S001,P0005,71,55.13,10,0,92,2022,1,1,2022-W01
2022-01-06,S001,P0006,130,44.53,10,0,138,2022,1,1,2022-W01
2022-01-06,S001,P0007,110,28.44,0,0,125,2022,1,1,2022-W01
2022-01-06,S001,P0008,84,47.69,5,0,114,2022,1,1,2022-W01
2022-01-06,S001,P0009,152,100.31,10,1,170,2022,1,1,2022-W01
2022-01-06,S001,P0010,37,118.84,0,0,54,2022,1,1,2022-W01
2022-01-06,S001,P0011,96,135.85,25,1,91,2022,1,1,2022-W01
2022-01-06,S001,P0012,100,79.21,5,0,85,2022,1,1,2022-W01
2022-01-06,S001,P0013,142,33.78,15,1,154,2022,1,1,2022-W01
2022-01-06,S001,P0014,138,88.88,5,0,165,2022,1,1,2022-W01
2022-01-06,S001,P0015,71,16.63,0,0,106,2022,1,1,2022-W01
2022-01-06,S001,P0016,71,36.35,5,0,94,2022,1,1,2022-W01
2022-01-06,S001,P0017,78,24.24,10,0,132,2022,1,1,2022-W01
2022-01-06,S001,P0018,123,60.31,10,0,112,2022,1,1,2022-W01
2022-01-06,S001,P0019,72,110.01,5,0,82,2022,1,1,2022-W01
2022-01-06,S001,P0020,157,129.63,10,0,133,2022,1,1,2022-W01
2022-01-06,S002,P0001,128,89.44,0,0,113,2022,1,1,2022-W01
2022-01-06,S002,P0002,69,31.48,10,1,96,2022,1,1,2022-W01
2022-01-06,S002,P0003,97,70.03,10,0,86,2022,1,1,2022-W01
2022-01-06,S002,P0004,110,37.81,10,1,97,2022,1,1,2022-W01
2022-01-06,S002,P0005,55,75.35,10,0,53,2022,1,1,2022-W01
2022-01-06,S002,P0006,115,68.69,10,0,127,2022,1,1,2022-W01
2022-01-06,S002,P0007,85,26.4,10,0,88,2022,1,1,2022-W01
2022-01-06,S002,P0008,77,22.32,10,0,86,2022,1,1,2022-W01
2022-01-06,S002,P0009,113,54.33,25,1,129,2022,1,1,2022-W01
2022-01-06,S002,P0010,91,94.6,5,0,118,2022,1,1,2022-W01
2022-01-06,S002,P0011,152,92.11,20,1,143,2022,1,1,2022-W01
2022-01-06,S002,P0012,70,68.15,5,0,92,2022,1,1,2022-W01
2022-01-06,S002,P0013,108,24.89,10,1,154,2022,1,1,2022-W01
2022-01-06,S002,P0014,33,98.21,0,0,31,2022,1,1,2022-W01
2022-01-06,S002,P0015,117,74.99,0,0,107,2022,1,1,2022-W01
2022-01-06,S002,P0016,30,71.37,0,0,37,2022,1,1,2022-W01
2022-01-06,S002,P0017,33,17.88,5,0,51,2022,1,1,2022-W01
2022-01-06,S002,P0018,86,30.2,0,0,105,2022,1,1,2022-W01
2022-01-06,S002,P0019,139,93.63,0,0,116,2022,1,1,2022-W01
2022-01-06,S002,P0020,88,134.79,10,0,102,2022,1,1,2022-W01
2022-01-07,S001,P0001,92,66.07,10,0,87,2022,1,1,2022-W01
2022-01-07,S001,P0002,96,58.58,10,0,94,2022,1,1,2022-W01
2022-01-07,S001,P0003,51,43.04,15,1,71,2022,1,1,2022-W01
2022-01-07,S001,P0004,65,99.27,0,0,57,2022,1,1,2022-W01
2022-01-07,S001,P0005,64,56.02,10,0,97,2022,1,1,2022-W01
2022-01-07,S001,P0006,85,46.2,0,0,115,2022,1,1,2022-W01
2022-01-07,S001,P0007,87,25.04,10,1,134,2022,1,1,2022-W01
2022-01-07,S001,P0008,108,46.73,5,0,124,2022,1,1,2022-W01
2022-01-07,S001,P0009,94,96.57,5,0,120,2022,1,1,2022-W01
2022-01-07,S001,P0010,36,114.83,5,0,45,2022,1,1,2022-W01
2022-01-07,S001,P0011,59,163.3,5,0,76,2022,1,1,2022-W01
2022-01-07,S001,P0012,56,61.32,20,1,76,2022,1,1,2022-W01
2022-01-07,S001,P0013,44,23.68,25,1,66,2022,1,1,2022-W01
2022-01-07,S001,P0014,109,60.19,20,1,108,2022,1,1,2022-W01
2022-01-07,S001,P0015,91,16.24,5,0,98,2022,1,1,2022-W01
2022-01-07,S001,P0016,148,38.9,20,1,175,2022,1,1,2022-W01
2022-01-07,S001,P0017,79,22.03,10,0,102,2022,1,1,2022-W01
2022-01-07,S001,P0018,108,50.74,25,1,132,2022,1,1,2022-W01
2022-01-07,S001,P0019,55,104.86,0,0,55,2022,1,1,2022-W01
2022-01-07,S001,P0020,111,122.03,20,1,135,2022,1,1,2022-W01
2022-01-07,S002,P0001,96,84.54,10,0,146,2022,1,1,2022-W01
2022-01-07,S002,P0002,57,31.44,0,0,66,2022,1,1,2022-W01
2022-01-07,S002,P0003,72,59.13,25,1,75,2022,1,1,2022-W01
2022-01-07,S002,P0004,69,41.02,5,0,90,2022,1,1,2022-W01
2022-01-07,S002,P0005,112,101.71,0,0,108,2022,1,1,2022-W01
2022-01-07,S002,P0006,148,74.21,0,0,134,2022,1,1,2022-W01
2022-01-07,S002,P0007,200,32.05,20,1,195,2022,1,1,2022-W01
2022-01-07,S002,P0008,63,25.23,10,0,124,2022,1,1,2022-W01
2022-01-07,S002,P0009,132,70.5,0,0,120,2022,1,1,2022-W01
2022-01-07,S002,P0010,110,95.48,0,0,121,2022,1,1,2022-W01
2022-01-07,S002,P0011,185,109.02,5,0,160,2022,1,1,2022-W01
2022-01-07,S002,P0012,129,61.38,15,1,110,2022,1,1,2022-W01
2022-01-07,S002,P0013,92,22.95,10,1,126,2022,1,1,2022-W01
2022-01-07,S002,P0014,98,114.8,25,1,163,2022,1,1,2022-W01
2022-01-07,S002,P0015,135,73.85,5,0,118,2022,1,1,2022-W01
2022-01-07,S002,P0016,93,79.33,25,1,136,2022,1,1,2022-W01
2022-01-07,S002,P0017,144,21.92,10,0,126,2022,1,1,2022-W01
2022-01-07,S002,P0018,87,29.06,15,1,145,2022,1,1,2022-W01
2022-01-07,S002,P0019,141,107.35,5,0,183,2022,1,1,2022-W01
2022-01-07,S002,P0020,150,152.69,15,1,163,2022,1,1,2022-W01
2022-01-08,S001,P0001,96,68.56,10,1,113,2022,1,1,2022-W01
2022-01-08,S001,P0002,77,76.3,15,1,208,2022,1,1,2022-W01
2022-01-08,S001,P0003,109,54.15,15,1,142,2022,1,1,2022-W01
2022-01-08,S001,P0004,32,69.37,20,1,36,2022,1,1,2022-W01
2022-01-08,S001,P0005,95,53.57,5,0,83,2022,1,1,2022-W01
2022-01-08,S001,P0006,90,35.55,20,1,119,2022,1,1,2022-W01
2022-01-08,S001,P0007,174,25.99,10,1,147,2022,1,1,2022-W01
2022-01-08,S001,P0008,69,41.98,10,1,107,2022,1,1,2022-W01
2022-01-08,S001,P0009,83,88.19,5,0,92,2022,1,1,2022-W01
2022-01-08,S001,P0010,74,135.63,0,0,76,2022,1,1,2022-W01
2022-01-08,S001,P0011,63,125.42,25,1,83,2022,1,1,2022-W01
2022-01-08,S001,P0012,105,76.44,5,0,90,2022,1,1,2022-W01
2022-01-08,S001,P0013,55,26.67,10,0,62,2022,1,1,2022-W01
2022-01-08,S001,P0014,75,55.78,25,1,104,2022,1,1,2022-W01
2022-01-08,S001,P0015,95,16.38,15,1,137,2022,1,1,2022-W01
2022-01-08,S001,P0016,161,36.88,25,1,160,2022,1,1,2022-W01
2022-01-08,S001,P0017,79,21.9,0,0,69,2022,1,1,2022-W01
2022-01-08,S001,P0018,134,77.51,15,1,227,2022,1,1,2022-W01
2022-01-08,S001,P0019,59,105.33,10,0,70,2022,1,1,2022-W01
2022-01-08,S001,P0020,81,124.39,5,0,87,2022,1,1,2022-W01
2022-01-08,S002,P0001,83,82.34,10,1,120,2022,1,1,2022-W01
2022-01-08,S002,P0002,115,35.07,10,1,130,2022,1,1,2022-W01
2022-01-08,S002,P0003,87,78.72,10,1,122,2022,1,1,2022-W01
2022-01-08,S002,P0004,70,28.79,25,1,71,2022,1,1,2022-W01
2022-01-08,S002,P0005,40,72.89,5,0,44,2022,1,1,2022-W01
2022-01-08,S002,P0006,92,60.13,25,1,143,2022,1,1,2022-W01
2022-01-08,S002,P0007,76,33.12,10,1,163,2022,1,1,2022-W01
2022-01-08,S002,P0008,102,23.49,15,1,120,2022,1,1,2022-W01
2022-01-08,S002,P0009,133,63.41,10,0,137,2022,1,1,2022-W01
2022-01-08,S002,P0010,158,107.34,0,0,161,2022,1,1,2022-W01
2022-01-08,S002,P0011,125,97.54,20,1,183,2022,1,1,2022-W01
2022-01-08,S002,P0012,63,70.27,0,0,101,2022,1,1,2022-W01
2022-01-08,S002,P0013,18,25.05,0,0,120,2022,1,1,2022-W01
2022-01-08,S002,P0014,170,130.84,20,1,169,2022,1,1,2022-W01
2022-01-08,S002,P0015,217,75.7,20,1,188,2022,1,1,2022-W01
2022-01-08,S002,P0016,112,98.35,15,1,187,2022,1,1,2022-W01
2022-01-08,S002,P0017,84,19.89,5,0,80,2022,1,1,2022-W01
2022-01-08,S002,P0018,140,30.56,25,1,213,2022,1,1,2022-W01
2022-01-08,S002,P0019,55,77.42,10,0,75,2022,1,1,2022-W01
2022-01-08,S002,P0020,90,155.62,0,0,130,2022,1,1,2022-W01
2022-01-09,S001,P0001,57,62.76,10,0,87,2022,1,1,2022-W01
2022-01-09,S001,P0002,134,80.13,5,0,183,2022,1,1,2022-W01
2022-01-09,S001,P0003,165,66.41,5,0,157,2022,1,1,2022-W01
2022-01-09,S001,P0004,82,112.58,5,0,124,2022,1,1,2022-W01
2022-01-09,S001,P0005,88,56.42,5,0,99,2022,1,1,2022-W01
2022-01-09,S001,P0006,113,43.73,10,0,132,2022,1,1,2022-W01
2022-01-09,S001,P0007,65,21.29,10,0,84,2022,1,1,2022-W01
2022-01-09,S001,P0008,87,38.58,10,0,81,2022,1,1,2022-W01
2022-01-09,S001,P0009,117,95.45,5,0,133,2022,1,1,2022-W01
2022-01-09,S001,P0010,101,121.82,15,1,107,2022,1,1,2022-W01
2022-01-09,S001,P0011,130,173.38,10,0,110,2022,1,1,2022-W01
2022-01-09,S001,P0012,84,86.89,10,0,131,2022,1,1,2022-W01
2022-01-09,S001,P0013,100,30.92,10,0,105,2022,1,1,2022-W01
2022-01-09,S001,P0014,178,94.42,0,0,168,2022,1,1,2022-W01
2022-01-09,S001,P0015,65,16.07,5,0,95,2022,1,1,2022-W01
2022-01-09,S001,P0016,131,42.45,10,0,163,2022,1,1,2022-W01
2022-01-09,S001,P0017,70,17.97,25,1,95,2022,1,1,2022-W01
2022-01-09,S001,P0018,81,58.15,10,0,101,2022,1,1,2022-W01
2022-01-09,S001,P0019,44,110.34,0,0,68,2022,1,1,2022-W01
2022-01-09,S001,P0020,217,131.7,25,1,186,2022,1,1,2022-W01
2022-01-09,S002,P0001,85,72.8,10,0,97,2022,1,1,2022-W01
2022-01-09,S002,P0002,98,35.31,0,0,99,2022,1,1,2022-W01
2022-01-09,S002,P0003,75,83.67,5,0,124,2022,1,1,2022-W01
2022-01-09,S002,P0004,83,37.02,5,0,75,2022,1,1,2022-W01
2022-01-09,S002,P0005,60,89.65,5,0,86,2022,1,1,2022-W01
2022-01-09,S002,P0006,136,81.45,0,0,149,2022,1,1,2022-W01
2022-01-09,S002,P0007,0,29.68,10,0,142,2022,1,1,2022-W01
2022-01-09,S002,P0008,81,27.27,0,0,99,2022,1,1,2022-W01
2022-01-09,S002,P0009,91,71.1,0,0,140,2022,1,1,2022-W01
2022-01-09,S002,P0010,129,99.51,20,1,219,2022,1,1,2022-W01
2022-01-09,S002,P0011,91,95.2,5,0,114,2022,1,1,2022-W01
2022-01-09,S002,P0012,79,69.5,0,0,98,2022,1,1,2022-W01
2022-01-09,S002,P0013,118,22.14,10,0,114,2022,1,1,2022-W01
2022-01-09,S002,P0014,70,111.09,10,0,77,2022,1,1,2022-W01
2022-01-09,S002,P0015,109,68.62,0,0,95,2022,1,1,2022-W01
2022-01-09,S002,P0016,86,95.73,0,0,119,2022,1,1,2022-W01
